# MNE-Annotations
# orig_time : 2023-06-22 14:05:27.352000
# onset, duration, description
0.0,0.0,1
0.008,0.0,1
13.229,0.0,1
15.464,0.0,1
27.155,0.0,1
28.604,0.0,1
31.491,0.0,1
157.951,0.0,1
200.411,0.0,1
202.955,0.0,1
202.955,0.0,1
202.987,0.0,1
203.019,0.0,1
203.051,0.0,1
203.083,0.0,1
227.733,0.0,1
231.925,0.0,1
231.941,0.0,1
235.142,0.0,1
327.099,0.0,1
327.499,0.0,1
327.675,0.0,1
327.899,0.0,1
328.091,0.0,1
329.131,0.0,1
329.34,0.0,1
329.516,0.0,1
329.756,0.0,1
329.932,0.0,1
330.156,0.0,1
489.024,0.0,1
549.891,0.0,1
551.251,0.0,1
587.348,0.0,1
622.084,0.0,1
627.058,0.0,1
627.09,0.0,1
648.711,0.0,1
667.251,0.0,1
684.141,0.0,1
703.314,0.0,1
720.61,0.0,1
739.619,0.0,1
757.652,0.0,1
773.591,0.0,1
791.937,0.0,1
806.136,0.0,1
822.227,0.0,1
838.179,0.0,1
851.293,0.0,1
856.74,0.0,1
870.053,0.0,1
886.98,0.0,1
903.161,0.0,1
919.246,0.0,1
935.586,0.0,1
952.43,0.0,1
971.775,0.0,1
988.496,0.0,1
1004.252,0.0,1
1019.043,0.0,1
1036.859,0.0,1
1048.24,0.0,1
1492.461,0.0,1
1508.014,0.0,1
1508.974,0.0,1
1527.999,0.0,1
1545.933,0.0,1
1562.169,0.0,1
1578.373,0.0,1
1609.704,0.0,1
1626.363,0.0,1
1643.885,0.0,1
1661.323,0.0,1
1678.156,0.0,1
1696.461,0.0,1
1711.102,0.0,1
1726.703,0.0,1
1740.96,0.0,1
1757.841,0.0,1
1773.458,0.0,1
1793.05,0.0,1
1808.905,0.0,1
1825.832,0.0,1
1840.471,0.0,1
1857.119,0.0,1
1874.498,0.0,1
1892.451,0.0,1
1908.993,0.0,1
1919.169,0.0,1
1951.158,0.0,1
