# MNE-Annotations
# orig_time : 2023-04-17 15:06:28.002000
# onset, duration, description
0.999,0.0,1
40.996,0.0,1
59.328,0.0,1
60.999,0.0,1
63.864,0.0,1
63.896,0.0,1
94.096,0.0,1
122.055,0.0,1
143.486,0.0,1
164.181,0.0,1
183.006,0.0,1
201.008,0.0,1
217.333,0.0,1
236.33,0.0,1
254.03,0.0,1
273.798,0.0,1
290.401,0.0,1
308.123,0.0,1
326.174,0.0,1
341.308,0.0,1
360.733,0.0,1
379.95,0.0,1
397.08,0.0,1
417.63,0.0,1
439.772,0.0,1
458.175,0.0,1
475.561,0.0,1
493.9,0.0,1
513.736,0.0,1
530.996,0.0,1
531.636,0.0,1
540.999,0.0,1
650.996,0.0,1
